month,price_per_oz
1960-02,35.27
1960-03,35.27
1960-04,35.27
1960-05,35.27
1960-06,35.27
1960-07,35.27
1960-08,35.27
1960-09,35.27
1960-10,35.27
1960-11,35.27
1960-12,35.27
1961-01,35.25
1961-02,35.25
1961-03,35.25
1961-04,35.25
1961-05,35.25
1961-06,35.25
1961-07,35.25
1961-08,35.25
1961-09,35.25
1961-10,35.25
1961-11,35.25
1961-12,35.25
1962-01,35.23
1962-02,35.23
1962-03,35.23
1962-04,35.23
1962-05,35.23
1962-06,35.23
1962-07,35.23
1962-08,35.23
1962-09,35.23
1962-10,35.23
1962-11,35.23
1962-12,35.23
1963-01,35.09
1963-02,35.09
1963-03,35.09
1963-04,35.09
1963-05,35.09
1963-06,35.09
1963-07,35.09
1963-08,35.09
1963-09,35.09
1963-10,35.09
1963-11,35.09
1963-12,35.09
1964-01,35.10
1964-02,35.10
1964-03,35.10
1964-04,35.10
1964-05,35.10
1964-06,35.10
1964-07,35.10
1964-08,35.10
1964-09,35.10
1964-10,35.10
1964-11,35.10
1964-12,35.10
1965-01,35.12
1965-02,35.12
1965-03,35.12
1965-04,35.12
1965-05,35.12
1965-06,35.12
1965-07,35.12
1965-08,35.12
1965-09,35.12
1965-10,35.12
1965-11,35.12
1965-12,35.12
1966-01,35.13
1966-02,35.13
1966-03,35.13
1966-04,35.13
1966-05,35.13
1966-06,35.13
1966-07,35.13
1966-08,35.13
1966-09,35.13
1966-10,35.13
1966-11,35.13
1966-12,35.13
1967-01,34.95
1967-02,34.95
1967-03,34.95
1967-04,34.95
1967-05,34.95
1967-06,34.95
1967-07,34.95
1967-08,34.95
1967-09,34.95
1967-10,34.95
1967-11,34.95
1967-12,34.95
1968-01,35.50
1968-02,36.00
1968-03,37.00
1968-04,37.86
1968-05,40.70
1968-06,41.14
1968-07,39.46
1968-08,39.19
1968-09,40.18
1968-10,39.21
1968-11,39.78
1968-12,41.08
1969-01,42.30
1969-02,42.60
1969-03,43.16
1969-04,43.31
1969-05,43.46
1969-06,41.44
1969-07,41.76
1969-08,41.09
1969-09,40.87
1969-10,40.44
1969-11,37.40
1969-12,35.17
1970-01,34.94
1970-02,34.99
1970-03,35.09
1970-04,35.62
1970-05,35.95
1970-06,35.42
1970-07,35.32
1970-08,35.38
1970-09,36.19
1970-10,37.52
1970-11,37.44
1970-12,37.44
1971-01,37.88
1971-02,38.74
1971-03,38.87
1971-04,39.01
1971-05,40.52
1971-06,40.10
1971-07,40.95
1971-08,42.71
1971-09,42.03
1971-10,42.50
1971-11,42.86
1971-12,43.48
1972-01,45.75
1972-02,48.26
1972-03,48.33
1972-04,49.03
1972-05,54.62
1972-06,62.09
1972-07,65.66
1972-08,67.03
1972-09,65.46
1972-10,64.86
1972-11,62.91
1972-12,63.91
1973-01,65.14
1973-02,74.20
1973-03,84.37
1973-04,90.50
1973-05,101.96
1973-06,120.12
1973-07,120.17
1973-08,106.76
1973-09,102.97
1973-10,100.08
1973-11,94.92
1973-12,106.72
1974-01,129.19
1974-02,150.13
1974-03,168.42
1974-04,172.24
1974-05,163.27
1974-06,154.10
1974-07,142.98
1974-08,154.64
1974-09,151.75
1974-10,158.78
1974-11,181.66
1974-12,183.78
1975-01,176.27
1975-02,179.60
1975-03,178.16
1975-04,169.84
1975-05,167.39
1975-06,164.24
1975-07,165.17
1975-08,163.00
1975-09,144.17
1975-10,142.79
1975-11,142.42
1975-12,139.30
1976-01,131.05
1976-02,131.06
1976-03,132.76
1976-04,127.94
1976-05,126.92
1976-06,125.71
1976-07,117.73
1976-08,109.93
1976-09,114.15
1976-10,116.15
1976-11,130.46
1976-12,133.93
1977-01,132.26
1977-02,136.24
1977-03,148.23
1977-04,149.17
1977-05,146.61
1977-06,140.78
1977-07,143.39
1977-08,144.94
1977-09,149.53
1977-10,158.95
1977-11,162.10
1977-12,160.45
1978-01,173.18
1978-02,178.14
1978-03,183.61
1978-04,175.28
1978-05,176.31
1978-06,183.75
1978-07,188.73
1978-08,206.30
1978-09,212.08
1978-10,227.44
1978-11,206.20
1978-12,207.85
1979-01,227.28
1979-02,245.67
1979-03,242.05
1979-04,239.11
1979-05,257.59
1979-06,279.07
1979-07,294.74
1979-08,300.82
1979-09,354.95
1979-10,391.66
1979-11,391.99
1979-12,455.08
1980-01,675.31
1980-02,665.32
1980-03,553.58
1980-04,517.41
1980-05,513.80
1980-06,600.72
1980-07,643.27
1980-08,627.15
1980-09,673.63
1980-10,661.15
1980-11,624.77
1980-12,538.26
1981-01,557.39
1981-02,499.76
1981-03,499.11
1981-04,495.80
1981-05,479.70
1981-06,461.09
1981-07,409.07
1981-08,410.16
1981-09,443.75
1981-10,437.76
1981-11,413.37
1981-12,410.09
1982-01,384.14
1982-02,374.13
1982-03,330.25
1982-04,350.30
1982-05,333.71
1982-06,314.98
1982-07,338.97
1982-08,364.23
1982-09,437.31
1982-10,422.15
1982-11,414.89
1982-12,444.50
1983-01,481.29
1983-02,491.09
1983-03,419.70
1983-04,432.88
1983-05,438.01
1983-06,412.84
1983-07,402.91
1983-08,416.20
1983-09,411.80
1983-10,393.60
1983-11,381.70
1983-12,388.34
1984-01,370.89
1984-02,385.96
1984-03,394.26
1984-04,381.37
1984-05,377.40
1984-06,377.70
1984-07,347.71
1984-08,347.70
1984-09,340.20
1984-10,341.00
1984-11,342.00
1984-12,319.54
1985-01,302.79
1985-02,299.10
1985-03,313.50
1985-04,326.80
1985-05,316.00
1985-06,316.50
1985-07,317.20
1985-08,330.40
1985-09,323.35
1985-10,325.85
1985-11,321.50
1985-12,321.90
1986-01,347.48
1986-02,338.89
1986-03,345.70
1986-04,340.44
1986-05,342.40
1986-06,342.70
1986-07,348.34
1986-08,376.66
1986-09,417.73
1986-10,423.51
1986-11,397.56
1986-12,390.92
1987-01,408.26
1987-02,401.12
1987-03,408.91
1987-04,438.35
1987-05,460.23
1987-06,449.59
1987-07,450.52
1987-08,461.15
1987-09,460.38
1987-10,465.35
1987-11,467.57
1987-12,486.24
1988-01,476.58
1988-02,442.07
1988-03,443.61
1988-04,451.55
1988-05,451.07
1988-06,451.33
1988-07,437.63
1988-08,431.28
1988-09,413.46
1988-10,406.78
1988-11,420.17
1988-12,419.05
1989-01,404.01
1989-02,387.51
1989-03,390.15
1989-04,384.40
1989-05,371.05
1989-06,367.60
1989-07,375.04
1989-08,365.14
1989-09,361.75
1989-10,366.88
